Unnamed: 0,Unnamed: 1,Product description,Waste,"Energy, kJ","Energy, kcal",Nitrogen-to-protein factor,"Nitrogen, total","Protein, videnskabelig",Protein labeling,Carbohydrate by difference,"Carbohydrates, available","Carbohydrate, declaration",Added sugar,Dietary fiber,"Fat, total",Fatty acid conversion factor (FCF),Alcohol,Ash,Dry matter,Water,Vitamin A,Retinol,beta-carotene,Vitamin D,Vitamin D3,D2 ergocalciferol,Vitamin D3 25-hydroxy,25-hydroxyergocalciferol,Vitamin E,alpha-tocopherol,gamma-tocopherol,delta-tocopherol,alpha-tokotrienol,Vitamin K1,Vitamin B1,thiamine,"Vitamin B2, Riboflavin",Niacin Equivalent,Niacin,Vitamin B6,Pantothenic,Biotin,Folate,"Folate, free",B12,C Vitamin,L-ascorbic acid,L-dehydroascorbic,"Sulfur, S","Chloride, Cl","Sodium, Na","Potassium, K","Calcium, Ca","Magnesium, Mg","Phosphorus, P","Iron, Fe","Copper, Cu","Zinc, Zn",Iodine In,"Manganese, Mn","Chromium, Cr","Selenium, Se","Molybdenum, Mo","Cobalt, Co.","Nickel, Ni","Fluoron, F","Silicon, Si","Rubidium, Rb","Aluminum, Al","Boron, B","Bromine, Br",Mercury Hg,"Arsenic, As",Arsen inorganic,"Cadmium, Cd","Lead, Pb","Tin, Sn",L-lactic acid,D-lactic acid,"Lactic acid, total",Citric acid,Oxalic acid,Malic acid,Benzoic acid,"Organic acids, tot.",Histamine,Tyramine,Phenylethylamine,Putrescin,Cadaverine,Spermine,Spermidine,Serotonin,Fructose,Galactose,Glucose,"Monosaccharides, total",Lactose,Maltose,Sucrose,Disaccharides total,Raffinose,Other sugars,"Sugars, total",Sorbitol,Inositol,Maltitol,"Sugar alcohols, total",Starch,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibers,Neutr.Det.Fibre (NDF),C4: 0,C6: 0,C8: 0,C10: 0,C12: 0,C13: 0,C14: 0,C15: 0,C16: 0,C17: 0,C18: 0,C20: 0,C21:0,C22: 0,C23:0,C24: 0,"Saturated F.A., other","C12:1,n-1",C14: 1 n-5,C15: 1,C16: 1 n-7,C17: 1 n-7,C18: 1 n-9,C18: 1 n-7,C20: 1 n-9,C20: 1 n-11,C22: 1 n-9,C22: 1 n-11,C24: 1 n-9,Other monounsaturated.,C18: 2 n-6,"C18: 2 conj-A, undifferentiated",C18: 3 n-3,C18: 3 n-6,"C18: 4, n-3",C20: 2 n-6,"C22:2,n-6","C22:4,n-6","C22:5,n-6",C20: 3 n-3,"C20: 4, n-3",C20: 3 n-6,"C20: 4, n-6","C20: 5, n-3","C22: 5, n-3","C22: 6, n-3",Other polyunsaturated,C14: 1 trans-9,C16: 1 trans,C18: 1 trans-n-9,C20: 1 trans,C22: 1 trans,"C18: 2, trans, undifferentiated",Other fatty acids,Sum saturated,Sum monounsaturated,Sum polyunsaturated,"Trans fatty acids, total","Fatty acids, total",Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valin,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Hydroxyproline,Serin,Density
751,Fish products,"Tuna, in tomato sauce, canned",0,478,113,6.25,2.752,17.2,17.2,4.6,4.6,4.6,0,0,2.9,0.8,0,1.2,25.9,74.1,372,372,0,2.81,2.81,nv,nv,nv,1.2,1.2,nv,nv,nv,0,0,nv,0.0615,13.2,10.1,0.425,0.32,3,15,7,2.2,0,0,nv,nv,nv,307,350,8.9,27,164,1.2,0.053,1.8,15.6,0.012,9,68,0,nv,2,nv,nv,nv,nv,nv,nv,42,99,nv,2,29,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.2,0.656,0.726,0.1,8.05,0.1,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,0,nv,0.009,nv,0.31,0,0.116,0.011,nv,0,nv,0.004,nv,nv,0,nv,0.016,nv,0.529,0,nv,0.009,0,0.027,0,nv,1.004,nv,0.125,nv,0,0,nv,nv,nv,0,nv,0,nv,0.018,0.009,0.129,nv,nv,nv,nv,nv,nv,nv,0.01,0.451,0.581,1.284,nv,2.326,0.28,1.004,47,936,1490,1540,550,83,716,633,853,187,1100,991,605,1070,1790,2370,716,660,nv,716,nv
924,Fish products,"Sardine, in tomato sauce, canned",0,637,152,6.25,2.616,16.4,16.4,3.6,3.6,3.6,0,0,8,0.925,0,3.7,31.7,68.3,18,18,0,12,12,nv,nv,nv,2.3,2.3,nv,nv,nv,0,0.03,nv,0.17,5.87,3.3,0.15,0.7,4,16,6,7.8,0,0,nv,nv,nv,461,376,400,37,350,2.4,0.24,2.8,25,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,10,0.48,nv,0.02,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,0,nv,0.565,nv,1.572,0,0.221,0.032,nv,0,nv,0,nv,nv,0,nv,0.539,nv,1.477,0,nv,0.057,0,0,0.055,nv,0.654,nv,0.202,nv,0.15,0,nv,nv,nv,0,nv,0,nv,0.708,0.082,0.981,nv,nv,nv,nv,nv,nv,nv,0.135,2.39,2.129,2.777,nv,7.43,2.123,0.654,80,785,1200,1360,471,71,628,628,706,154,942,916,549,968,1540,1860,837,602,nv,654,nv
960,Fish products,"Mackerel, in tomato sauce, canned",0,647,155,6.25,1.872,11.7,11.7,3.9,3.9,3.9,0,0,10.3,0.925,0,1.7,27.6,72.4,29.1,29.1,0,2.6,2.6,nv,0,nv,1.52,1.52,nv,nv,nv,0,0.045,nv,0.172,6.81,4.75,0.165,0.181,6.05,19,3,5.85,0,0,nv,nv,607,346,357,16,23.1,122,0.695,0.107,0.585,12.4,0.058,6.45,19.5,nv,nv,2.6,nv,nv,nv,nv,nv,nv,3.91,143,nv,0.454,0.218,nv,nv,nv,nv,nv,nv,nv,nv,nv,1,0.397,0.043,0.05,0.997,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,nv,0.697,0.041,1.242,nv,0.233,0,nv,0,nv,0,nv,nv,nv,nv,0.344,nv,0.913,0.177,0.926,nv,0.106,1.527,0.103,nv,0.335,nv,0.163,nv,0.479,0,nv,nv,nv,nv,0.099,0,0.003,0.635,0.122,1.162,nv,nv,nv,nv,nv,nv,nv,0.26,2.212,4.096,2.998,nv,9.566,2.66,0.338,75,562,861,1030,318,73,468,449,524,124,730,580,580,674,1050,1290,637,431,nv,506,nv
993,Fish products,"Sprat (sardine), in tomato sauce, canned",0,857,206,6.25,2.416,15.1,15.1,0.5,0.5,0.5,0,0,16,0.88,0,2.4,34,66,18,18,0,12,12,nv,nv,nv,2.3,2.3,nv,nv,nv,0,0.03,nv,0.17,5.68,3.3,0.15,0.7,4,16,6,7.8,0,0,nv,nv,nv,461,376,400,37,350,2.4,0.24,2.8,25,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,10,0.48,nv,0.02,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.5,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.792,0.076,3.441,nv,0.239,nv,nv,nv,nv,nv,nv,nv,nv,nv,1.542,nv,3.832,nv,nv,0.282,0.239,nv,nv,nv,0.185,nv,0.239,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.315,1.39,nv,1.509,nv,nv,nv,nv,nv,nv,nv,nv,4.549,5.895,3.637,nv,14.08,3.137,0.499,38,725,1110,1260,435,65,580,580,652,143,870,846,507,894,1430,1720,773,556,nv,604,nv
1023,Other composite foods,"Soup, tomato, ready to eat",0,304,72,6.25,0.262,1.6,1.6,13.1,12.7,12.7,nv,0.4,1.5,0.9,0,2.4,18.7,81.3,56,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.07,nv,0.04,1.37,1.1,0.09,0.12,nv,12,nv,0,53,53,nv,nv,nv,695,210,11,6,27,1.4,0.2,0.194,nv,0.2,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.4,nv,0,0.01,0,0,0,nv,0.02,nv,0.161,nv,0.07,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.01,nv,0.335,nv,nv,nv,nv,nv,nv,nv,0.637,nv,0.132,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.263,0.345,0.769,nv,1.377,0.132,0.637,0,47,79,39,18,22,55,34,42,16,52,47,29,45,128,616,42,107,nv,63,nv
1263,Vegetable products,"Beans, baked i tomato sauce, canned",0,371,88,6.25,0.816,5.1,5.1,19.1,12.5,9.6,nv,6.6,0.5,0.76,0,1.7,26.4,73.6,0,0,0,0,0,nv,nv,nv,0.6,0.6,nv,nv,nv,nv,0.07,nv,0.05,1.32,0.5,0.12,nv,nv,29,4,0,0,0,nv,nv,nv,480,300,45,31,91,1.4,0.21,0.7,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,5,nv,nv,nv,nv,4.64,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,0,nv,0,0,0.076,0,0.008,0,nv,0,nv,nv,nv,nv,0,0,0,0,0.048,nv,nv,0,0,nv,nv,nv,0.098,nv,0.15,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,0,0,0,nv,nv,nv,nv,nv,nv,nv,nv,0.084,0.048,0.249,nv,0.38,0.15,0.098,nv,212,392,367,57,41,269,131,212,49,237,302,147,212,620,751,204,180,nv,294,nv
1646,Other composite foods,"Pizza with tomato and cheese, fast food",0,1351,322,6.25,2.13,13.3,13.3,38.1,35.7,35.7,nv,2.4,13.5,0.858,0,2.5,67.3,32.7,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.11,nv,0.129,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,899,518,165,246,24,204,0.603,0.101,1.51,nv,0.323,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.338,0.224,0.131,0.284,0.382,nv,1.043,0.105,3.063,0,1.01,0,nv,0,nv,0,nv,nv,0.092,nv,0.149,0,2.978,0.121,0,0.024,0,0,0,nv,1.03,0,0.25,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.205,0,0,0.088,0.047,6.58,3.364,1.28,0.292,11.563,0.25,1.03,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1647,Other composite foods,"Pizza with seafood, tomato and cheese, fast food",0,1073,256,6.25,2.2,13.8,13.8,28.8,26.7,26.7,nv,2.1,10,0.873,0,2.6,55.1,44.9,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.0793,nv,0.0978,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1040,681,162,180,27.6,181,0.895,0.108,1.33,nv,0.279,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.194,0.122,0.061,0.147,0.186,nv,0.537,0.061,1.925,0,0.655,0,nv,0,nv,0,nv,nv,0.029,nv,0.098,0,2.592,0.108,0,0.02,0,0,0,nv,1.52,0,0.151,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0.014,nv,nv,0,0.217,0,0,0.061,0.012,3.887,2.847,1.684,0.278,8.709,0.165,1.52,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1648,Other composite foods,"Pizza with salami, tomato and cheese, fast food",0,1308,312,6.25,2.045,12.8,12.8,33.6,31.7,31.7,nv,1.9,14.5,0.876,0,2.8,63.7,36.3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.152,nv,0.125,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1210,737,178,187,23.5,181,0.856,0.0873,1.52,nv,0.338,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.223,0.137,0.075,0.184,0.247,nv,0.759,0.078,3.209,0,1.381,0,nv,0,nv,0,nv,nv,0.052,nv,0.232,0,3.931,0.195,0,0.034,0,0,0,nv,1.342,0,0.231,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.281,0,0,0.073,0.039,6.293,4.444,1.573,0.354,12.703,0.231,1.342,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1649,Other composite foods,"Pizza with vegetables, fruit, tomato and cheese, fast food",0,921,220,6.25,1.293,8.1,8.1,29.2,26.8,26.8,nv,2.4,8.4,0.878,0,2.1,47.7,52.3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.0898,nv,0.12,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,840,498,187,143,19.6,135,0.763,0.0975,0.97,nv,0.329,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.167,0.108,0.064,0.136,0.185,nv,0.495,0.056,1.7,0,0.512,0,nv,0,nv,0,nv,nv,0.045,nv,0.082,0,2.265,0.1,0,0.029,0,0,0,nv,1.055,0,0.222,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.106,0,0,0.024,0,3.423,2.521,1.277,0.13,7.351,0.222,1.055,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1650,Other composite foods,"Pizza with meat, tomato and cheese, fast food",0,1081,257,6.25,1.896,11.8,11.8,31.4,29.5,29.5,nv,1.9,9.8,0.877,0,2.5,55.5,44.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.117,nv,0.102,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,984,625,202,136,21.8,162,0.853,0.0917,1.53,nv,0.308,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.149,0.089,0.053,0.118,0.154,nv,0.477,0.052,2.14,0,0.83,0,nv,0,nv,0,nv,nv,0.046,nv,0.139,0,2.573,0.123,0,0.012,0,0,0,nv,1.168,0,0.202,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.193,0,0,0.046,0.01,4.062,2.893,1.369,0.239,8.573,0.202,1.168,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1651,Other composite foods,"Pizza with meat and seafood, tomato and cheese, fast food",0,958,228,6.25,2.05,12.8,12.8,24.5,22.4,22.4,nv,2.1,9.3,0.874,0,2.8,49.4,50.6,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.16,nv,0.105,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,1150,727,184,140,20.7,180,0.705,0.099,1.42,nv,0.251,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.159,0.105,0.064,0.136,0.183,nv,0.517,0.059,2.098,0,0.725,0,nv,0,nv,0,nv,nv,0.039,nv,0.125,0,2.482,0.128,0,0.032,0,0,0,nv,0.878,0,0.189,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.136,0,0,0.037,0.014,4.045,2.806,1.067,0.173,8.105,0.189,0.878,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
1577,Biscuits and cookies,"Biscuit, sweet, pepper nuts, Danish tradition, industrially produced",0,1997,476,5.7,0.931,5.3,5.8,71.6,69.3,67.2,nv,2.3,19.2,0.896,0,0.9,97,3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,2.15,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,284,218,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.528,nv,0.802,1.33,0.0826,0.133,25.2,25.4,nv,nv,26.7,nv,nv,nv,nv,40.5,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.048,0.036,0.13,0.11,0.792,nv,0.51,0,5.457,0,1.129,0,nv,0,nv,0,nv,nv,0,nv,0.014,0,5.871,0.226,nv,0,0,0,0,nv,2.504,0,0.221,0,0,0,nv,nv,nv,nv,0,nv,0,0,0,0,nv,nv,0,0.087,0,0,0.063,0,8.212,6.112,2.725,0.149,17.198,0.221,2.504,nv,368,753,248,169,238,538,310,296,129,448,418,234,330,464,3720,401,1270,nv,532,nv
36,Tropical or subtropical fruit,"Watermelon, raw",34,140,33,6.25,0.128,0.8,0.8,7.5,7,6.5,0,0.5,0.1,0.7,0,0.3,8.7,91.3,1.67,0,20,0,0,nv,nv,nv,0.05,0.05,nv,nv,nv,0,0.02,nv,0.02,0.21,0.178,0.045,0.3,0,3,2,0,11.3,9.6,1.7,nv,nv,6.7,146,4.38,8.4,19.8,0.3,0.03,0.1,0.15,0.037,0,0,0,0,7,0,0,60,0,0,0,0.2,3,nv,1,3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.06,3.43,nv,1.83,5.27,nv,nv,1.23,1.23,nv,nv,6.5,0,nv,nv,0,0,nv,nv,nv,nv,nv,nv,nv,nv,0.3,0.2,nv,nv,nv,nv,nv,nv,nv,nv,0.02,nv,0.004,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.002,nv,0.011,nv,nv,nv,nv,nv,nv,nv,0.013,nv,0.019,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.025,0.013,0.032,nv,0.07,0.019,0.013,0,24,23,81,8,3,3,3,35,2,20,76,8,22,50,82,13,31,nv,20,nv
447,Tropical or subtropical fruit,"Muskmelon, raw",30,99,23,6.25,0.131,0.8,0.8,5.2,4.2,4.1,0,1,0.2,0.7,0,0.5,6.7,93.3,91.7,0,1100,0,0,nv,nv,nv,0.05,0.05,nv,nv,nv,0,0.03,nv,0.03,0.668,0.6,0.055,0.23,0,30,30,0,14,14,nv,nv,nv,16.4,171,16.8,9.2,25.4,0.27,0.04,0.1,0.32,0,0,0,16,0,7,0,0,60,0,0,0,0.2,3,nv,1,3,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.09,1.83,nv,1.43,3.26,nv,nv,0.8,0.8,nv,nv,4.06,0,nv,nv,0,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.032,nv,0.007,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.003,nv,0.016,nv,nv,nv,nv,nv,nv,nv,0.019,nv,0.029,nv,nv,nv,nv,nv,nv,nv,nv,nv,0,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,0.039,0.019,0.048,nv,0.105,0.029,0.019,0,nv,nv,21,3,nv,26,nv,nv,4,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv,nv
